config_id,signal_family,side_mode,sl_rule,tp_rule,sl_value,tp_value,max_hold_bars,trades,pnl,profit_factor,win_rate,expectancy,max_dd,total_gain,total_loss,wf_folds,wf_positive,wf_all_positive,wf_pnls,day_positive_rate,week_positive_rate,month_positive_rate,week_std_pnl
X01916,momentum_reversion,short_only,atr_blend,atr_blend,1.0,2.0,12,47,110.72,1.0522,0.383,2.3557,614.18,2233.18,-2122.46,3,2,False,"[-447.84, 517.16, 41.4]",0.4815,0.6364,0.5,205.99
X01492,momentum_reversion,all,fixed,fixed,60.0,30.0,24,108,212.58,1.0521,0.6759,1.9683,613.64,4289.48,-4076.9,3,2,False,"[-238.14, 135.36, 315.36]",0.4894,0.5,0.75,242.28
X01333,icefishball,short_only,atr,atr,1.5,1.5,48,297,674.72,1.0518,0.4983,2.2718,1506.38,13712.48,-13037.76,3,2,False,"[-661.26, 834.24, 501.74]",0.5179,0.5385,0.75,460.31
X00035,emapmo,all,atr_blend,atr_blend,1.0,2.0,6,213,440.38,1.0516,0.4225,2.0675,1160.9,8969.9,-8529.52,3,1,False,"[916.46, -400.04, -76.04]",0.425,0.5,0.75,211.05
X00238,emapmo,long_only,fixed,fixed,60.0,30.0,6,106,203.06,1.0516,0.6792,1.9157,808.52,4139.72,-3936.66,3,2,False,"[-83.14, 209.6, 76.6]",0.5333,0.5714,0.3333,242.71
X01226,icefishball,short_only,atr,atr,2.5,1.0,12,277,512.52,1.0513,0.6643,1.8503,1293.24,10505.84,-9993.32,3,2,False,"[-406.32, 550.92, 367.92]",0.4821,0.5385,0.5,451.51
X00109,emapmo,all,range15_pct,range15_pct,1.0,1.0,12,165,445.4,1.0512,0.497,2.6994,1661.72,9148.82,-8703.42,3,2,False,"[453.8, -330.2, 321.8]",0.4359,0.5,0.75,361.69
X01218,icefishball,short_only,atr,atr,1.5,1.0,12,310,517.6,1.0508,0.5839,1.6697,1239.92,10709.06,-10191.46,3,2,False,"[-502.46, 691.28, 328.78]",0.5,0.4615,0.5,392.54
X01534,momentum_reversion,all,range15_pct,range15_pct,1.0,1.0,24,95,278.2,1.0507,0.4947,2.9284,936.6,5770.72,-5492.52,3,2,False,"[-536.18, 524.32, 290.06]",0.4894,0.3333,0.5,480.86
X01329,icefishball,short_only,atr,atr,1.0,1.5,48,343,615.18,1.0505,0.4052,1.7935,920.48,12801.64,-12186.46,3,2,False,"[-198.6, 440.64, 373.14]",0.4821,0.5385,0.75,327.24
X01780,momentum_reversion,long_only,fixed,fixed,80.0,15.0,48,62,73.12,1.0504,0.8548,1.1794,443.64,1524.28,-1451.16,3,2,False,"[33.96, -156.04, 195.2]",0.7429,0.5833,0.5,120.45
X01615,momentum_reversion,long_only,atr,atr,1.0,2.0,6,66,87.66,1.0501,0.4091,1.3282,374.96,1838.52,-1750.86,3,2,False,"[-301.28, 62.22, 326.72]",0.5143,0.4167,0.25,133.36
X01969,momentum_reversion,short_only,atr,atr,2.5,2.0,24,39,125.64,1.0499,0.5385,3.2215,735.96,2645.96,-2520.32,3,1,False,"[-187.12, 549.38, -236.62]",0.5556,0.4545,0.5,207.31
X01513,momentum_reversion,all,atr,atr,2.5,2.0,24,94,259.94,1.0497,0.5213,2.7653,888.32,5492.74,-5232.8,3,2,False,"[-479.68, 276.06, 463.56]",0.4894,0.3333,0.5,509.32
